specialty,count
 Surgery,870
 Consult - History and Phy.,413
 Cardiovascular / Pulmonary,297
 Orthopedic,284
 Radiology,218
 General Medicine,207
 Gastroenterology,179
 Neurology,178
 SOAP / Chart / Progress Notes,133
 Urology,125
 Obstetrics / Gynecology,124
 Discharge Summary,86
 ENT - Otolaryngology,77
 Neurosurgery,75
 Hematology - Oncology,72
 Ophthalmology,66
 Nephrology,65
 Emergency Room Reports,60
 Pediatrics - Neonatal,56
 Pain Management,49
 Psychiatry / Psychology,42
 Office Notes,40
 Podiatry,38
 Dermatology,23
 Dentistry,22
 Cosmetic / Plastic Surgery,22
 Letters,18
 Physical Medicine - Rehab,17
 Sleep Medicine,16
 Endocrinology,15
 Bariatrics,14
 IME-QME-Work Comp etc.,13
 Chiropractic,11
 Diets and Nutritions,8
 Rheumatology,8
 Lab Medicine - Pathology,7
 Speech - Language,7
 Autopsy,6
 Allergy / Immunology,6
 Hospice - Palliative Care,5
